                      OLS Regression Results                     
Dep. Variable:   ,ncperc          ,  R-squared:         ,   0.679
Model:           ,OLS             ,  Adj. R-squared:    ,   0.359
Method:          ,Least Squares   ,  F-statistic:       ,   2.119
Date:            ,Fri, 09 Oct 2020,  Prob (F-statistic):, 0.126  
Time:            ,18:36:52        ,  Log-Likelihood:    ,  56.797
No. Observations:,    21          ,  AIC:               ,  -91.59
Df Residuals:    ,    10          ,  BIC:               ,  -80.10
Df Model:        ,    10          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const      ,   -0.0138,    0.078,   -0.178, 0.862,   -0.187,    0.160
tsetL0     ,    0.0156,    0.009,    1.775, 0.106,   -0.004,    0.035
viabilityL0,   -0.0032,    0.002,   -1.774, 0.106,   -0.007,    0.001
tsetL1     ,   -0.0150,    0.012,   -1.237, 0.244,   -0.042,    0.012
viabilityL1,    0.0016,    0.002,    0.778, 0.454,   -0.003,    0.006
tsetL2     ,   -0.0062,    0.012,   -0.522, 0.613,   -0.033,    0.020
viabilityL2,    0.0012,    0.002,    0.614, 0.553,   -0.003,    0.006
tsetL3     ,    0.0011,    0.013,    0.087, 0.932,   -0.028,    0.030
viabilityL3,-7.719e-05,    0.002,   -0.035, 0.973,   -0.005,    0.005
tsetL4     ,    0.0344,    0.012,    2.948, 0.015,    0.008,    0.060
viabilityL4,   -0.0065,    0.002,   -3.645, 0.005,   -0.011,   -0.003
Omnibus:      , 1.132,  Durbin-Watson:     ,   1.124
Prob(Omnibus):, 0.568,  Jarque-Bera (JB):  ,   0.236
Skew:         , 0.201,  Prob(JB):          ,   0.889
Kurtosis:     , 3.329,  Cond. No.          ,1.01e+03

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.01e+03. This might indicate that there are
strong multicollinearity or other numerical problems.
