                      OLS Regression Results                     
Dep. Variable:   ,ncperc          ,  R-squared:         ,   0.134
Model:           ,OLS             ,  Adj. R-squared:    ,  -0.013
Method:          ,Least Squares   ,  F-statistic:       ,  0.9145
Date:            ,Wed, 07 Oct 2020,  Prob (F-statistic):, 0.526  
Time:            ,13:39:06        ,  Log-Likelihood:    ,  142.70
No. Observations:,    70          ,  AIC:               ,  -263.4
Df Residuals:    ,    59          ,  BIC:               ,  -238.7
Df Model:        ,    10          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const      ,    0.0811,    0.170,    0.478, 0.635,   -0.259,    0.421
tsetL0     ,    0.0082,    0.013,    0.642, 0.523,   -0.017,    0.034
viabilityL0,    0.0012,    0.001,    1.264, 0.211,   -0.001,    0.003
tsetL1     ,   -0.0046,    0.013,   -0.365, 0.716,   -0.030,    0.021
viabilityL1,   -0.0005,    0.001,   -0.550, 0.584,   -0.002,    0.001
tsetL2     ,   -0.0249,    0.013,   -1.896, 0.063,   -0.051,    0.001
viabilityL2,   -0.0017,    0.001,   -1.913, 0.061,   -0.004, 7.84e-05
tsetL3     ,    0.0144,    0.013,    1.074, 0.287,   -0.012,    0.041
viabilityL3,    0.0009,    0.001,    1.028, 0.308,   -0.001,    0.003
tsetL4     ,    0.0067,    0.012,    0.541, 0.591,   -0.018,    0.032
viabilityL4,   -0.0002,    0.001,   -0.281, 0.780,   -0.002,    0.001
Omnibus:      , 0.577,  Durbin-Watson:     ,   1.923
Prob(Omnibus):, 0.749,  Jarque-Bera (JB):  ,   0.682
Skew:         , 0.196,  Prob(JB):          ,   0.711
Kurtosis:     , 2.717,  Cond. No.          ,2.96e+03

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.96e+03. This might indicate that there are
strong multicollinearity or other numerical problems.
