                      OLS Regression Results                     
Dep. Variable:   ,ncperc          ,  R-squared:         ,   0.172
Model:           ,OLS             ,  Adj. R-squared:    ,   0.012
Method:          ,Least Squares   ,  F-statistic:       ,   1.074
Date:            ,Sat, 17 Oct 2020,  Prob (F-statistic):, 0.397  
Time:            ,17:29:01        ,  Log-Likelihood:    ,  178.65
No. Observations:,    75          ,  AIC:               ,  -331.3
Df Residuals:    ,    62          ,  BIC:               ,  -301.2
Df Model:        ,    12          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const      ,    0.0057,    0.046,    0.123, 0.903,   -0.087,    0.099
tsetL0     ,   -0.0032,    0.003,   -0.968, 0.337,   -0.010,    0.003
viabilityL0,    0.0005,    0.001,    0.890, 0.377,   -0.001,    0.002
tsetL1     ,   -0.0019,    0.005,   -0.408, 0.685,   -0.011,    0.008
viabilityL1,    0.0006,    0.001,    0.742, 0.461,   -0.001,    0.002
tsetL2     ,    0.0044,    0.005,    0.882, 0.381,   -0.006,    0.014
viabilityL2,   -0.0008,    0.001,   -0.888, 0.378,   -0.002,    0.001
tsetL3     ,-8.137e-05,    0.005,   -0.016, 0.987,   -0.010,    0.010
viabilityL3,    0.0006,    0.001,    0.651, 0.517,   -0.001,    0.002
tsetL4     ,    0.0024,    0.005,    0.485, 0.629,   -0.007,    0.012
viabilityL4,   -0.0009,    0.001,   -0.927, 0.358,   -0.003,    0.001
tsetL5     ,    0.0006,    0.004,    0.182, 0.856,   -0.006,    0.008
viabilityL5,    0.0001,    0.001,    0.219, 0.828,   -0.001,    0.001
Omnibus:      , 4.914,  Durbin-Watson:     ,   1.781
Prob(Omnibus):, 0.086,  Jarque-Bera (JB):  ,   4.073
Skew:         ,-0.508,  Prob(JB):          ,   0.131
Kurtosis:     , 3.520,  Cond. No.          ,2.43e+03

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.43e+03. This might indicate that there are
strong multicollinearity or other numerical problems.
