"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72202012839","2020-02-01T00:05:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.99","65","69","0.26","TS:7 +RA:02 BR:1 |RA TS |RA",,,"87",,"SCT:04 6 BKN:07 16 OVC:08 35","29.96","1.50","66","040","25","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET20102/01/20 00:05:02 SPECI KMIA 010505Z 04017G22KT 1 1/2SM R09/1800V4500FT +TSRA BR SCT006 BKN016CB OVC035 21/18 A2999 RMK AO2 LTG DSNT ALQDS OCNL LTGIC OHD-ALQDS TS OHD-ALQDS MOV NE P0026 T02060183 (BJR)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-14"
"72202012839","2020-02-01T00:19:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.99","65","68","0.51","TS:7 +RA:02 BR:1 |RA TS |RA",,,"90",,"SCT:04 4 BKN:07 12 OVC:08 25","29.96","1.50","66","VRB","18","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET18502/01/20 00:19:02 SPECI KMIA 010519Z VRB03G16KT 1 1/2SM +TSRA BR SCT004 BKN012CB OVC025 20/18 A2999 RMK AO2 LTG DSNT ALQDS OCNL LTGIC OHD-ALQDS TS OHD-ALQDS MOV NE P0051 T02000183 (BJR)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-14"
"72202012839","2020-02-01T00:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.99","60","65","0.78","TS:7 -RA:02 BR:1 |RA TS |RA","+0.02","8","84","29.99","FEW:02 4 BKN:07 20 OVC:08 40","29.96","4.00","62","340","22","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET22002/01/20 00:53:02 METAR KMIA 010553Z 34007G19KT 4SM -TSRA BR FEW004 BKN020CB OVC040 18/16 A2999 RMK AO2 PK WND 31027/0531 LTG DSNT E AND S SLP156 OCNL LTGIC E-S TS E-S MOV NE P0093 60120 T01830156 10244 20183 58007 (BJR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-14"
"72202012839","2020-02-01T01:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60","65",,,"+0.02","8","84","29.99","5","29.96","3.73","62","340",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN10472202 11256 83407 10183 20156 30146 40156 58007 60301 710// 90553 333 10267 20172 91019 96010 555 90106=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-14"
"72202012839","2020-02-01T01:18:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.05","61","66","0.01",,,,"84",,"FEW:02 4 SCT:04 20 BKN:07 40","30.02","10.00","63","270","20","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET15502/01/20 01:18:02 SPECI KMIA 010618Z 27010G17KT 10SM FEW004 SCT020 BKN040 19/16 A3005 RMK AO2 LTG DSNT E RAE17 TSE17 PRESRR CB DSNT E P0001 T01890161 (BJR)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-14"
"72202012839","2020-02-01T01:39:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.94","61","65","0.12","RA:02 BR:1 |RA |RA",,,"87",,"FEW:02 10 BKN:07 26 OVC:08 40","29.91","3.00","63","050",,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET16002/01/20 01:39:02 SPECI KMIA 010639Z 05010KT 3SM RA BR FEW010 BKN026 OVC040 18/16 A2994 RMK AO2 LTG DSNT S RAE17B39 TSE17 PRESFR CB DSNT S P0012 T01830161 (BJR)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-14"
"72202012839","2020-02-01T01:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.95","62","66","0.13","-RA:02 |RA |RA",,,"87","29.95","FEW:02 12 BKN:07 28 OVC:08 50","29.92","9.00","64","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET16002/01/20 01:53:02 METAR KMIA 010653Z 00000KT 9SM -RA FEW012 BKN028 OVC050 19/17 A2995 RMK AO2 LTG DSNT SE RAE17B39 TSE17 SLP143 CB DSNT SE P0013 T01890167 (BJR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-14"
"72202012839","2020-02-01T02:14:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.97","62","67","T",,,,"84",,"FEW:02 8 SCT:04 28 SCT:04 50","29.94","10.00","64","130",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12002/01/20 02:14:02 SPECI KMIA 010714Z 13003KT 10SM FEW008 SCT028 SCT050 19/17 A2997 RMK AO2 RAE0659 P0000 T01940167 (BJR)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-14"
"72202012839","2020-02-01T02:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.97","63","67","0.00",,,,"87","29.97","SCT:04 8 SCT:04 28 SCT:04 100","29.94","10.00","65","200",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12702/01/20 02:53:02 METAR KMIA 010753Z 20004KT 10SM SCT008 SCT028 SCT100 19/17 A2997 RMK AO2 RAE0659 SLP148 P0000 T01940172 (BJR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-14"
"72202012839","2020-02-01T03:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.95","64","68","0.00",,"+0.04","6","87","29.95","FEW:02 8 FEW:02 28 BKN:07 90","29.92","10.00","66","220",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12502/01/20 03:53:02 METAR KMIA 010853Z 22003KT 10SM FEW008 FEW028 BKN090 20/18 A2995 RMK AO2 SLP141 60013 T02000178 56015 (BJR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-14"
