"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72290023188","2020-02-01T00:51:00","FM-15","7",,"NW","0.2","mi","TEMP","15",,"HYGR","32.7336","-117.1831","CONTRACTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","38","54","0.00",,"-0.01","0","55","30.24","CLR:00","30.21","10.00","47","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10102/01/20 00:51:02 METAR KSAN 010851Z 00000KT 10SM CLR 12/03 A3024 RMK AO2 SLP239 T01220033 50002 (AA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-08-23"
"72290023188","2020-02-01T01:51:00","FM-15","7",,"NW","0.2","mi","TEMP","15",,"HYGR","32.7336","-117.1831","CONTRACTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","36","53","0.00",,,,"52","30.24","CLR:00","30.21","10.00","45","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09502/01/20 01:51:02 METAR KSAN 010951Z 00000KT 10SM CLR 12/02 A3024 RMK AO2 SLP240 T01170022 (AA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-08-23"
"72290023188","2020-02-01T02:51:00","FM-15","7",,"NW","0.2","mi","TEMP","15",,"HYGR","32.7336","-117.1831","CONTRACTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","37","51","0.00",,,,"59","30.23","CLR:00","30.21","10.00","45","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09502/01/20 02:51:02 METAR KSAN 011051Z 00000KT 10SM CLR 11/03 A3024 RMK AO2 SLP238 T01060028 (AA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-08-23"
"72290023188","2020-02-01T03:51:00","FM-15","7",,"NW","0.2","mi","TEMP","15",,"HYGR","32.7336","-117.1831","CONTRACTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","37","50","0.00",,"+0.01","8","61","30.23","CLR:00","30.20","10.00","44","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11302/01/20 03:51:02 METAR KSAN 011151Z 00000KT 10SM CLR 10/03 A3023 RMK AO2 SLP236 T01000028 10150 20100 58002 (AA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-08-23"
"72290023188","2020-02-01T04:00:00","FM-12","4",,"NW","0.2","mi","TEMP","15",,"HYGR","32.7336","-117.1831","CONTRACTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,"37","50",,,"+0.01","8","61","30.23",,"30.19","9.94","44","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072290 32966 00000 10100 20028 30222 40236 58002 91151 333 10267 20100 555 90112=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-08-23"
"72290023188","2020-02-01T04:51:00","FM-15","7",,"NW","0.2","mi","TEMP","15",,"HYGR","32.7336","-117.1831","CONTRACTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","35","50","0.00",,,,"57","30.22","CLR:00","30.20","10.00","43","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09502/01/20 04:51:02 METAR KSAN 011251Z 00000KT 10SM CLR 10/02 A3023 RMK AO2 SLP235 T01000017 (AA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-08-23"
"72290023188","2020-02-01T05:51:00","FM-15","7",,"NW","0.2","mi","TEMP","15",,"HYGR","32.7336","-117.1831","CONTRACTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","33","50","0.00",,,,"52","30.23","FEW:02 250","30.20","10.00","43","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09802/01/20 05:51:02 METAR KSAN 011351Z 00000KT 10SM FEW250 10/01 A3023 RMK AO2 SLP237 T01000006 (AA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-08-23"
"72290023188","2020-02-01T06:51:00","FM-15","7",,"NW","0.2","mi","TEMP","15",,"HYGR","32.7336","-117.1831","CONTRACTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","31","51","0.00",,"-0.00","2","46","30.23","FEW:02 250","30.20","10.00","42","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10502/01/20 06:51:02 METAR KSAN 011451Z 00000KT 10SM FEW250 11/M01 A3023 RMK AO2 SLP237 T01061006 52000 (JT)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-08-23"
"72290023188","2020-02-01T07:51:00","FM-15","7",,"NW","0.2","mi","TEMP","15",,"HYGR","32.7336","-117.1831","CONTRACTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","33","55","0.00",,,,"44","30.23","FEW:02 250","30.20","10.00","45","310",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09802/01/20 07:51:02 METAR KSAN 011551Z 31003KT 10SM FEW250 13/01 A3023 RMK AO2 SLP238 T01280006 (JT)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-08-23"
"72290023188","2020-02-01T08:51:00","FM-15","7",,"NW","0.2","mi","TEMP","15",,"HYGR","32.7336","-117.1831","CONTRACTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.25","31","65","0.00",,,,"28","30.24","CLR:00","30.22","10.00","49","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09602/01/20 08:51:02 METAR KSAN 011651Z 00000KT 10SM CLR 18/M01 A3025 RMK AO2 SLP242 T01831006 (JT)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-08-23"
